la lana,"<ul>  <li>wool</li>  <li> cash, money, dough</li></ul>",N,f,,
ilegal,"<ul>  <li>illegal immigrant</li>  <li>illegal, unlawful</li></ul>",Adj,,,
la teoría,theory,N,f,,
encender,"<ul>  <li>to light, ignite</li>  <li>to turn on, switch on, power up</li></ul>",V,,,
la potencia,"<ul>  <li>power, potency</li>  <li>powerlifting</li></ul>",N,f,,
"solitario, solitaria",<ul>  <li>lonely</li>  <li>solitaire </li></ul>,Adj,,,
"apropiado, apropiada","appropriate, suitable",Adj,,,"adecuado, apto, propio"
la vaca,"<ul>  <li>leather</li>  <li>cow </li>  <li> cow woman considered unpleasant, particularly one considered fat</li>  <li>beef</li>  <li> collection</li>  <li>feminine singular of vaco</li></ul>",N,f,,"vacuno, res"
la transmisión,"broadcast, transmission",N,f,,
quemar,"<ul>  <li> to burn e.g. a CD</li>  <li> to scorch, to sear</li>  <li> to be very hot</li>  <li> to tan</li>  <li> to be very cold</li>  <li> to freeze</li>  <li> to burn</li></ul>",V,,transitive,
el palo,"<ul>  <li> style of flamenco</li>  <li> blow</li>  <li> tree</li>  <li> post; goalpost; woodwork</li>  <li> shot a small serving of alcoholic spirits</li>  <li>stake, stick, wood</li>  <li> suit</li>  <li> execution by hanging or beheading</li>  <li> mast a tall, slim post or tower used to support the sails on a ship</li>  <li>hit, blow, strike </li>  <li> penis</li></ul>",N,m,,
inútil,"<ul>  <li>a useless, hopeless person; idler, loafer</li>  <li>useless, pointless</li></ul>",Adj,,,"infructuoso, inservible"
sobrevivir, to survive,V,,intransitive,
el maletín,"briefcase, attaché case",N,m,,
la fama,<ul>  <li>fame</li>  <li>reputation</li></ul>,N,f,,
bastar, to be enough; to suffice,V,,intransitive,
acordar,"<ul>  <li> to decide, arrange plan</li>  <li> to agree</li>  <li> to tune</li>  <li> to reach agreement + de</li>  <li> to flush, to make flush, to level</li>  <li> to remember, recall + de</li></ul>",V,,intransitive,
socorrer,"<ul>  <li>to pay on account</li>  <li>to assist, to help, to succor, to aid</li></ul>",V,,,
corriente,"<ul>  <li>flowing, running</li>  <li>ordinary, normal</li>  <li>Ellipsis of corriente eléctrica “electric current”.</li>  <li>common, usual</li>  <li>current, trend, tendency</li>  <li>current </li></ul>",Adj,,,
esforzar,"<ul>  <li> to attempt</li>  <li> to strain, struggle</li>  <li> to encourage</li>  <li> to strive</li></ul>",V,,transitive,
la serpiente,"snake",N,f,specifically,"culebra,  sierpe"
horrible,horrible,Adj,,,
la coca,coca ,N,f,,
convencer,<ul>  <li>to persuade</li>  <li>to convince</li></ul>,V,,,
el taxi,taxi,N,m,,
cercar," to corral, fence, fence off",V,,transitive,
"aéreo, aérea",aerial,Adj,,,
la vergüenza,<ul>  <li>embarrassment</li>  <li>shame</li></ul>,N,f,,"pudor, acholo"
alegrar,<ul>  <li> to be glad</li>  <li> to be happy</li>  <li> to make happy</li></ul>,V,,transitive,
la fábrica,factory,N,f,,
contigo,with you ,Adv,,singular,
conectar,"<ul>  <li> to plug in, connect</li>  <li> to click i.e. get along well</li>  <li> to wire</li>  <li> to connect, get connected</li>  <li> to hook up colloquial</li>  <li> to connect, connect up, link</li></ul>",V,,transitive,
el montón,"<ul>  <li>heap, pile </li>  <li>ton, a lot, bunch, heap, loads </li></ul>",N,m,," mogollón, sinfín"
practicar,<ul>  <li> to practice</li>  <li> to exercise</li></ul>,V,,transitive,
civil,civil ,Adj,,,
alerta,"<ul>  <li>alert, vigilant</li>  <li>alertly</li>  <li>alarm</li></ul>",Adj,,,"listo, vigilante"
arruinar, to ruin,V,,transitive,
pasear,"<ul>  <li> to stroll, to saunter, to promenade</li>  <li> to take a walk</li>  <li> to loiter</li>  <li> to walk e.g. a dog</li>  <li> to stroll</li>  <li> to walk, to take a walk</li>  <li> to ride, to go for a ride e.g. on an animal, in a car, in a hot air balloon</li></ul>",V,,intransitive,
el garaje,garage ,N,m,,
"fantástico, fantástica",fantastic ,Adj,,excellent,
el rifle,rifle,N,m,,
"bello, bella","<ul>  <li>lovely </li>  <li>beautiful, fair</li></ul>",Adj,,,
respirar,to breathe,V,,,
planear,"to plan, to plot",V,,,
la leyenda,"<ul>  <li>legend, saga, traditional story</li>  <li>legend, inscription </li>  <li>life of a saint</li>  <li>legend, idol </li>  <li>caption, footer </li></ul>",N,f,,
la terapia, therapy,N,f,psychology,"tratamiento, terapéutica"
la tina,"<ul>  <li>large earthenware jar</li>  <li> tub, bathtub</li>  <li> bucket</li>  <li>vat</li></ul>",N,f,,
"furioso, furiosa","furious, raging, relentless",Adj,,,
la pandilla, gang,N,f,collective,
"interno, interna",<ul>  <li>prisoner</li>  <li>internal</li>  <li>patient</li></ul>,Adj,,,
delante,"<ul>  <li>in front of, before </li>  <li>ahead </li>  <li>forward, forwards </li></ul>",Adv,,spatially,
el/la detective,detective,N,m/f,,
"sano, sana","<ul>  <li>whole, unbroken</li>  <li>healthy, sound</li>  <li>pure</li>  <li>earnest</li></ul>",Adj,,,
la prostituta,female equivalent of prostituto,N,f,,
lamentar,"<ul>  <li>to mourn </li>  <li>to lament, to regret</li></ul>",V,,,
charlar," to chat, to chatter, to chitchat",V,,intransitive,
la crema,"<ul>  <li>custard</li>  <li> cream dairy product</li>  <li> mess disorder</li>  <li>cream, creamy </li>  <li>soup with cream</li>  <li>cream </li></ul>",N,f,,
la nueva,"<ul>  <li>feminine singular of nuevo</li>  <li>news, novelty</li></ul>",N,f,,"noticia, novedad"
la cicatriz, scar,N,f,skin,"alforza, chirlo"
interior,"<ul>  <li>interior</li>  <li>inner, interior</li>  <li> male underwear, underpants</li></ul>",Adj,,,
el metal,<ul>  <li> metal</li>  <li>metal</li></ul>,N,m,,
el show,"<ul>  <li> a scene, i.e. an exhibition of passionate or strong feeling before others, creating embarrassment or disruption</li>  <li>show, spectacle</li></ul>",N,m,,
la venganza,vengeance,N,f,,
la nieve,<ul>  <li> ice cream</li>  <li>snow</li></ul>,N,f,,"helado,  sorbete"
el período,<ul>  <li>period </li>  <li> period a geochronologic unit of millions to tens of millions of years</li></ul>,N,m,geology,"época, era"
la traición,<ul>  <li>treason</li>  <li>treachery</li></ul>,N,f,,
fiscal,"<ul>  <li> public prosecutor UK, district attorney US</li>  <li>prosecuting</li>  <li>fiscal</li></ul>",Adj,,,
librar,"<ul>  <li> to be free; to get off</li>  <li> to expel the placenta</li>  <li> to save, to rescue, to deliver, to preserve</li>  <li> to give birth</li>  <li> to issue a check, a decree</li>  <li> to place, to put hope, trust</li>  <li> to wage, to engage battle, war</li>  <li>to free, to exempt</li>  <li>to make </li></ul>",V,,transitive,"salvar, rescatar"
despachar,"<ul>  <li> to send or ship</li>  <li> to attend to, serve a client</li>  <li> to kill off</li>  <li> to finish off</li>  <li> to dismiss</li>  <li> to complete, conclude</li></ul>",V,,transitive,
el globo,<ul>  <li> lob</li>  <li>globe</li>  <li>balloon</li></ul>,N,m,," vejiga,  chimbomba"
el deporte,sport,N,m,,
helar,"<ul>  <li> to freeze</li>  <li> to freeze, to cool</li></ul>",V,,transitive,
amar,"to love, have great affection for, care about",V,,,
el sistema,"<ul>  <li>regime, system </li>  <li> the establishment</li>  <li>system</li>  <li>scheme </li></ul>",N,m,,
la promesa,promise,N,f,,
la habilidad,"ability, skill",N,f,,
la tristeza,"<ul>  <li>tristeza </li>  <li>sadness, gloom, sorrow, gloominess, unhappiness, misery</li></ul>",N,f,,
la grasa,<ul>  <li>nutritional fat</li>  <li>fat or grease used in cooking</li>  <li>feminine singular of graso</li></ul>,N,f,,
"desierto, desierta",<ul>  <li>uninhabited</li>  <li>desert</li>  <li>empty </li></ul>,Adj,,,
potencial,<ul>  <li>potential</li>  <li>conditional tense</li></ul>,Adj,,,
temporal,<ul>  <li>temporary</li>  <li>storm</li>  <li>temporal </li>  <li> temporal of the temples of the head</li></ul>,Adj,,,
acompañar,"<ul>  <li> to accompany, to go with, to join, to tag along</li>  <li>to chaperone</li></ul>",V,,transitive,
botar,"<ul>  <li>to bounce</li>  <li> to throw, throw away</li>  <li> to buck, throw a rider or pack by bucking</li>  <li> to fire, dismiss</li></ul>",V,,,"echar, tirar"
el suicidio,suicide ,N,m,,
arrestar,to arrest,V,,,
la clave,<ul>  <li>key </li>  <li> key to a problem or puzzle</li>  <li>password</li>  <li> clef</li>  <li>code</li>  <li> clave</li></ul>,N,f,figurative,
