el borde,"edge, border, brink, verge, rim, margin",N,m,
contigo,with you ,Adv,,singular
la onda,wave ,N,f,on the surface of a liquid
fracasar," to fail, flop, lose",V,,intransitive
cargar, to load to put a load on or in a means of conveyance or a place of storage,V,,transitive
el golf,golf,N,m,
la ciencia,science,N,f,
acercar, to bring close,V,,transitive
la villa,small town,N,f,
el billete,"banknote, bill ",N,m,paper currency
el océano,ocean,N,m,
el camino,"way, route",N,m,
el episodio,episode ,N,m,installment of a drama told in parts
la maldad,badness; evilness,N,f,
la máscara,mask,N,f,
ilegal,"illegal, unlawful",Adj,,
"violento, violenta",violent,Adj,,
el/la terrorista,terrorist,N,m/f,
la cafetería,"café, coffee shop, coffeehouse",N,f,
opinar,to think; to be of the opinion,V,,
el apartamento,"flat, apartment",N,m,
"quinto, quinta", fifth,Adj,,ordinal number
la promesa,promise,N,f,
agradecer, to thank,V,,transitive
la lealtad,loyalty,N,f,
la excelencia,"excellency, brilliance",N,f,
el pastor,shepherd,N,m,
"griego, griega",Greek ,Adj,,from or native to Greece
la cuestión,"matter, question, issue",N,f,
el campamento,camping ,N,m,recreational activity
el túnel,tunnel,N,m,
la tina,vat,N,f,
la observación,observation,N,f,
modal,modal,Adj,,
el archivo,archive,N,m,
gigante,"giant, gigantic",Adj,,
involucrar, to involve,V,,transitive
relajar," to relax, to loosen",V,,transitive
la potencia,"power, potency",N,f,
el senado, senate,N,m,politics
la lógica,logic,N,f,
cobrar,to charge ,V,,"money, etc."
la existencia,existence,N,f,
huir,"to flee, to run away",V,,
el gobierno,government,N,m,
el diablo,devil,N,m,
urgente,urgent,Adj,,
la galaxia,galaxy,N,f,
el jersey,"sweater, pullover",N,m,
la solución,solution,N,f,
la poción, potion,N,f,beverage
la noticia,notice,N,f,
criminal,criminal,Adj,,
la mafia,Mafia ,N,f,Italian Mafia
molestar,"to bother, to disturb, to trouble, to impose, to inconvenience, to burden",V,,
"secundario, secundaria",secondary,Adj,,
uniforme,"uniform, even",Adj,,
la corea, chorea,N,f,pathology
la tripulación,"crew of a ship, plane, or other craft",N,f,
noble,noble,Adj,,
visual,visual,Adj,,
la vigilancia,"vigilance, watchfulness ",N,f,"the state or quality of being watchful; alertness, vigilance or wakefulness"
rondar,to patrol,V,,
básicamente,basically,Adv,,
la clave, key to a problem or puzzle,N,f,figurative
técnicamente,technically,Adv,,
sensible,sensitive,Adj,,
el metal,metal,N,m,
el volumen,volume ,N,m,a three-dimensional measure of space
cansar, to tire,V,,transitive
el dibujo,drawing,N,m,
"romano, romana",Roman ,Adj,,from or native to the city or empire of Rome
divertir, to entertain,V,,transitive
la mascota,pet,N,f,
el reporte,report,N,m,
el poema,poem ,N,m,literary piece written in verse
el/la nene, young child; kid; baby,N,m/f,colloquial
el instante,"instant, moment",N,m,
el respecto,"respect, regard, connection, relation, relationship",N,m,
el incendio,fire ,N,m,especially burning buildings or forests
la cabra,female goat,N,f,
el pelotón,"group, team",N,m,
callar,to calm,V,,
"tonto, tonta",stupid,Adj,,
el champaña,Alternative form of champán,N,m,
el refuerzo,reinforcement,N,m,
batir," to beat, to pound repeatedly",V,,transitive
móvil,mobile,Adj,,
el templo,temple ,N,m,a house of worship
informar, to inform,V,,transitive
fumar, to smoke to give off smoke,V,,intransitive
la terapia, therapy,N,f,psychology
"incluso, inclusa","enclosed, included",Adj,,
"lejano, lejana","far, faraway",Adj,,
enojar, to anger,V,,transitive
cazar,to hunt,V,,
el lanzamiento,launch ,N,m,act of launching
el demonio,"demon, devil",N,m,
la reputación,reputation,N,f,
la fábrica,factory,N,f,
talvez, Alternative form of tal vez,Adv,,Latin America
respirar,to breathe,V,,
social,social,Adj,,
la chica,female equivalent of chico: girl,N,f,
el lago,lake,N,m,
el divorcio,divorce ,N,m,the legal dissolution of a marriage
chistar,"to speak, normally in negation",V,,
la urgencia,urgency,N,f,
"hermoso, hermosa","gorgeous, beautiful, handsome, lovely",Adj,,
desagradable,"unpleasant, disagreeable, distasteful, off-putting, displeasing, unpleasing, bad, rude, unsavory, uncomfortable, unlikable, objectionable, painful, uncongenial, crappy, gnarly ",Adj,,US slang
velar,velar,Adj,,
"científico, científica",scientific,Adj,,
actual,"present, current",Adj,,
la llave,key ,N,f,to open doors
acaso,perhaps,Adv,,
resultar,"to result, to turn out, to end up, to prove",V,,
alemán,German ,Adj,,relating to Germany or to the German language
relacionar,to relate,V,,
caliente,"hot, warm ",Adj,,emitting heat or warmth
la pelota, ball a round or ellipsoidal object,N,f,sports
el beneficio,benefit,N,m,
representar,to represent,V,,
la estupidez,stupidity ,N,f,the property of being stupid
"exacto, exacta",exact,Adj,,
encargar, to entrust,V,,transitive
el tigre,tiger,N,m,
"submarino, submarina","submarine, undersea, subsea, underwater",Adj,,
aparentemente,apparently,Adv,,
cascar,"to crack, to split",V,,
la joya,"jewellery, jewelry",N,f,
"sincero, sincera","sincere, honest",Adj,,
la puta," whore, slut, prostitute",N,f,"derogatory, vulgar"
el ejército,army,N,m,
el fenómeno,phenomenon,N,m,
la aldea,village,N,f,
demandar,"to ask for something, request, beg",V,,"for something,"
adonde,"to where, whither",Adv,,
la bala,bullet,N,f,
el botón,button ,N,m,"clothing, mechanical"
enseguida,immediately,Adv,,
el arco,bow ,N,m,weapon
imaginar,to imagine,V,,
fingir,to pretend ,V,,to act as though something is different from what it is
el vistazo,"look, glance",N,m,
el agujero,hole ,N,m,hollow place or cavity
"estupendo, estupenda",stupendous,Adj,,
la colección,collection,N,f,
desnudar," to undress, strip",V,,transitive
mortal,deadly,Adj,,
el guante,glove ,N,m,hand-wear
el bombero,firefighter,N,m,
"sordo, sorda",deaf,Adj,,
la estatua,statue,N,f,
la lástima,pity,N,f,
ladrón,thievish,Adj,,
descuidar,to relieve from care,V,,
la circunstancia,circumstance,N,f,
el kilogramo,kilogram,N,m,
la prima,female equivalent of primo ,N,f,“female cousin”
alegre,"joyful, cheerful",Adj,,
la criatura,"creature living being, critter",N,f,"living being,"
adorar,to adore ,V,,both literally and in the context of love
arrestar,to arrest,V,,
el teniente,lieutenant,N,m,
el equipaje,luggage,N,m,
el incidente,incident,N,m,
leal,"adhering to the rules of propriety, fair, honest, loyal, true",Adj,,
la energía, energy,N,f,physics
el/la psiquiatra,psychiatrist,N,m/f,
la mama," mamma, breast",N,f,anatomy
la copia,copy ,N,f,a duplicate of an original
la galleta,cookie / biscuit,N,f,
"fantástico, fantástica",fantastic ,Adj,,existing in fantasy
el tono,tone,N,m,
el gobernador,governor,N,m,
el auxilio,"aid, help",N,m,
contentar, to please,V,,transitive
"curioso, curiosa","curious, inquisitive ",Adj,,person
el béisbol,baseball ,N,m,ballgame
el ánimo,"soul, spirit, mood",N,m,
mandar, to send,V,,transitive
la violencia,violence,N,f,
impresionar,to impress; to make an impression on,V,,
el/la internet,internet,N,m/f,
la compañera," equivalent of compañero  fellow, companion;  comrade;  colleague",N,f,female
techar,to shingle; to roof,V,,
el helicóptero,helicopter ,N,m,an aircraft that is borne along by one or more sets of long rotating blades which allow it to hover
prohibir," to forbid, prohibit, enjoin",V,,transitive
el palo,"stake, stick, wood",N,m,
donde," where, in what place",Adv,,in indirect questions
el robot,robot,N,m,
el láser,laser,N,m,
la pata,"paw, foot, leg ",N,f,of an animal
la maldición,curse,N,f,
la niñera,babysitter ,N,f,female
el lobo,wolf,N,m,
"payaso, payasa",clownish; buffoonlike,Adj,,
el cabrón,billy goat,N,m,
la cicatriz, scar,N,f,skin
el champán,champan,N,m,
el talento,talent,N,m,
satisfacer," to satisfy, fulfil / fulfill",V,,transitive
la miss,"Miss, beauty queen ",N,f,winner in a female beauty contest
fiscal,fiscal,Adj,,
"pasajero, pasajera","transient, passing",Adj,,
detrás,"behind, at the rear",Adv,,
la abra,"small bay, inlet",N,f,
"extraordinario, extraordinaria",extraordinary,Adj,,
la ganancia,"profit, gain, earnings",N,f,
extra,"additional, extra",Adj,,
"bienvenido, bienvenida",welcome,Adj,,
el cabello,hair ,N,m,the mass of hairs on the head
mover, to move to cause to change place or posture,V,,transitive
el pene, penis,N,m,anatomy
el trago,gulp,N,m,
la fama,reputation,N,f,
"judío, judía",Jewish,Adj,,
la perra,female equivalent of perro ; bitch,N,f,“dog”
retirar,to remove,V,,
la vacación,"vacation, holiday",N,f,
besar,to kiss,V,,
el/la detective,detective,N,m/f,
el/la guardaespaldas,bodyguard,N,m/f,
quizás,"maybe, perhaps",Adv,,
"absoluto, absoluta",absolute,Adj,,
la defensa,defense,N,f,
"lindo, linda",pretty,Adj,,
"directo, directa","direct, straightforward",Adj,,
aburrir, to bore; to tire,V,,transitive
"bravo, brava","angry, furious",Adj,,
rescatar,to rescue,V,,
adónde," to where, whither, whereto",Adv,,interrogative
el obispo,bishop,N,m,
la lana,wool,N,f,
"apropiado, apropiada","appropriate, suitable",Adj,,
la primera,first gear ,N,f,lowest gear in a motor vehicle
el piano, piano,N,m,music
el satélite,satellite,N,m,
proponer,"to propose, to propound, to put forth, to put forward, to bring forward, to suggest",V,,
arriba,"above, over",Adv,,
"digno, digna",worthy,Adj,,
el/la colega,colleague,N,m/f,
militar,military,Adj,,
barrer, to sweep,V,,transitive
la química,chemistry ,N,f,the branch of science concerned with the composition of substances
el asesinato,assassination,N,m,
la traducción,translation,N,f,
agradar,"to please, to agree with",V,,
celular,cellular,Adj,,
la civilización,civilization,N,f,
el instinto,instinct,N,m,
"usado, usada",used,Adj,,
la paga,payment,N,f,
el mueble,a piece of furniture,N,m,
despedir,to dismiss,V,,
el/la representante,representative,N,m/f,
el armario,"cupboard, storage cabinet, wardrobe",N,m,
la multitud,multitude,N,f,
"grandioso, grandiosa",great,Adj,,
el diamante,diamond,N,m,
la hamburguesa,hamburger,N,f,
el distrito,district,N,m,
saludar,to greet,V,,
largar,to chase away,V,,
el tubo,tube,N,m,
convencer,to convince,V,,
la federación,federation,N,f,
el tabaco,tobacco,N,m,
la conspiración,conspiracy,N,f,
la superficie,surface,N,f,
el conde,"count, earl ; countess in the feminine sense",N,m,nobility
la comisión,committee,N,f,
el escritor,writer,N,m,
coger," to take, catch, hold, to get, to seize",V,,"Colombia, Cuba, Dominican Republic, Peru, Philippines, Puerto Rico, Spain"
esposar," to handcuff, manacle",V,,transitive
el pecado,sin,N,m,
el rollo,roll,N,m,
